Name,Company,Company Website,LinkedIn
Prateek Agarwal,First Cheque,https://www.firstcheque.vc/,https://www.linkedin.com/in/fcwalaprateek/
Anindya Ghoshal,Hellman and Friedman,,https://www.linkedin.com/in/anindya-ghoshal
Vinutha Rallapalli,Innovex Capital,,https://www.linkedin.com/in/vinutha-naga-rallapalli-31808a67
Siddesh Choudhary,Accel,https://www.accel.com/,https://www.linkedin.com/in/sid239/
Aayushi Shah,ITI Growth Opportunities,https://itigo.in/,https://www.linkedin.com/in/aayushi-shah-78b28780/
Ranopriyo Choudhury,Growth valley,https://growthvalley.in/,https://www.linkedin.com/in/ranopriyo-choudhury-853a1b9
Rick Gerson,Alpha Wave Global,https://www.alphawaveglobal.com/,https://www.linkedin.com/in/rick-gerson
Navroz D. Udwadia,Alpha Wave Global,https://www.alphawaveglobal.com/,https://www.linkedin.com/in/navroz-d-udwadia-bb9b3372
MV Subramanian,July Ventures,https://www.julyventures.com/,https://www.linkedin.com/in/mvsmani
Shruti Jain,Xeed Ventures,https://xeedvc.com/,https://www.linkedin.com/in/shruti-jain-60661657
Deepak I. Shahdadpuri,DSG Consumer Partners,https://www.dsgcp.com/,https://www.linkedin.com/in/deepakishahdadpuri
Manu Rikhye,Merak Ventures,https://merakventures.com/,https://www.linkedin.com/in/manu-rikhye-b9b9391
Piyush Mathur,Theia Ventures,https://www.theia-ventures.com/,https://www.linkedin.com/in/piyush-mathur-373125
Rajat Kedia,Manjushree Ventures,https://www.manjushreeventures.com/,https://www.linkedin.com/in/rajatkedia
Anne Dwane,Village Global,https://villageglobal.vc/,https://www.linkedin.com/in/dwane
Arjun Malhotra,Investopad,https://investopad.com/,https://www.linkedin.com/in/arjun-malhotra-investopad
Gaurav Gupta,C4D Partners,https://c4dpartners.com/,https://www.linkedin.com/in/gaurav-gupta-01767b13
Kee Lock CHUA,Vertex Ventures SE Asia & India,https://www.vertexventures.sg/,https://www.linkedin.com/in/kee-lock-chua-663119
Joo Hock CHUA,Vertex Ventures SE Asia & India,https://www.vertexventures.sg/,https://www.linkedin.com/in/joo-hock-chua-8b87181
Kuo-Yi Lim,Monk's Hill Venture,https://monkshill.com/,https://www.linkedin.com/in/limky
Jenny Fielding,Everywhere Ventures,https://www.everywhere.vc/,https://www.linkedin.com/in/jennyfielding
Scott Hartley,Everywhere Ventures,https://www.everywhere.vc/,https://www.linkedin.com/in/scotthartley
Vinay Bansal,Inflection Point Ventures,https://ipventures.in/,https://www.linkedin.com/in/vinay-bansal-383b035
Ankur Mittal,Inflection Point Ventures,https://ipventures.in/,https://www.linkedin.com/in/ankur-mittal-3ba773
